concept,section,concept_label,epi_name,shipped
fips_code,id,Jurisdiction FIPS code,,TRUE
jurisdiction_name,id,Jurisdiction name,,TRUE
state_abbr,id,State abbreviation,,TRUE
state_name,id,State name,,TRUE
reg_active,A,Active registered voters,totalActive,TRUE
reg_confirmations_sent,A,Address confirmation notices sent,totalConfirmation,TRUE
reg_eligible_total,A,Registered and eligible voters (total),registeredAndEligible,TRUE
reg_forms_received,A,Registration forms received (all sources),totalForm,TRUE
reg_inactive,A,Inactive registered voters,totalInactive,TRUE
reg_new_valid,A,New valid registrations,form_ValidReg,TRUE
reg_rejected,A,Registration forms invalid or rejected,form_Rejected,TRUE
reg_removed_total,A,Voters removed from the rolls (total),totalRemoved,TRUE
reg_same_day,A,Same-day and Election Day registrations,,TRUE
fwab_counted,B,Federal write-in absentee ballots counted,totalFwabCount,TRUE
fwab_returned,B,Federal write-in absentee ballots returned,totalFwabReturn,TRUE
uocava_counted,B,UOCAVA ballots counted,totalUocavaCount,TRUE
uocava_rejected,B,UOCAVA ballots rejected,totalUocavaReject,TRUE
uocava_returned,B,UOCAVA ballots returned for counting,totalAbsSubmit,TRUE
uocava_transmitted,B,UOCAVA ballots transmitted,totalAbsTransmit,TRUE
ballots_cured,C,Ballots cured after initial rejection,,TRUE
drop_boxes_total,C,Ballot drop boxes,,TRUE
mail_counted,C,Mail/absentee ballots counted,domAbs_Counted,TRUE
mail_rejected,C,Mail/absentee ballots rejected,domAbs_Rejected,TRUE
mail_returned,C,Mail/absentee ballots returned,byMail_Return,TRUE
mail_spoiled,C,Mail/absentee ballots spoiled,byMail_Spoil,TRUE
mail_transmitted,C,Mail/absentee ballots transmitted,totalByMail,TRUE
mail_undeliverable,C,Mail/absentee ballots undeliverable,byMail_Undeliv,TRUE
poll_worker_difficulty,D,Difficulty recruiting poll workers,,FALSE
poll_workers_total,D,Poll workers (total),,TRUE
polling_places_ed,D,Election Day polling places,,TRUE
precincts_total,D,Precincts (total),,TRUE
prov_counted_full,E,Provisional ballots counted in full,prov_FullCount,TRUE
prov_counted_partial,E,Provisional ballots counted in part,prov_PartCount,TRUE
prov_rejected,E,Provisional ballots rejected,prov_Rejected,TRUE
prov_submitted,E,Provisional ballots submitted,totalProv,TRUE
partic_all_mail,F,Voters: all-mail elections,partic_AllMail,TRUE
partic_by_mail,F,Voters: by mail (vote-by-mail jurisdictions),partic_ByMail,TRUE
partic_early_in_person,F,Voters: early in person,partic_Early,TRUE
partic_in_person_ed,F,Voters: in person on Election Day,partic_PollPl,TRUE
partic_provisional,F,Voters: provisional (credited),partic_Prov,TRUE
partic_total,F,Total voter participation,totalPartic,TRUE
partic_uocava,F,Voters: UOCAVA (absentee) ballot,partic_Abs,TRUE
mail_rejected_late,C,Mail ballots rejected: arrived after the deadline,domRej_Late,TRUE
mail_rejected_no_voter_sig,C,Mail ballots rejected: missing voter signature,domRej_NoVoterSig,TRUE
mail_rejected_no_witness_sig,C,Mail ballots rejected: missing witness signature,domRej_NoWitSig,TRUE
mail_rejected_sig_mismatch,C,Mail ballots rejected: non-matching signature,domRej_NonMatch,TRUE
mail_rejected_unofficial_env,C,Mail ballots rejected: unofficial envelope,domRej_WrongEnv,TRUE
mail_rejected_ballot_missing,C,Mail ballots rejected: ballot missing from envelope,domRej_Missing,TRUE
mail_rejected_multiple_ballots,C,Mail ballots rejected: multiple ballots in one envelope,domRej_MultiBall,TRUE
mail_rejected_env_not_sealed,C,Mail ballots rejected: envelope not sealed,domRej_NotSealed,TRUE
mail_rejected_no_address,C,Mail ballots rejected: no resident address on envelope,domRej_NoAddress,TRUE
mail_rejected_deceased,C,Mail ballots rejected: voter deceased,domRej_Deceased,TRUE
mail_rejected_already_voted,C,Mail ballots rejected: voter already voted,domRej_Voted,TRUE
mail_rejected_no_id,C,Mail ballots rejected: missing identification or documentation,domRej_NoId,TRUE
mail_rejected_no_application,C,Mail ballots rejected: no ballot application,domRej_NoApp,TRUE
mail_rejected_no_secrecy_env,C,Mail ballots rejected: no secrecy envelope,domRej_NoSecrecy,TRUE
mail_rejected_no_postmark,C,Mail ballots rejected: no postmark,domRej_NoMark,TRUE
mail_rejected_not_eligible,C,Mail ballots rejected: voter not eligible,domRej_Inel,TRUE
prov_rejected_not_registered,E,Provisional ballots rejected: voter not registered,provRej_NoReg,TRUE
prov_rejected_wrong_juris,E,Provisional ballots rejected: wrong jurisdiction,provRej_WrongJuris,TRUE
prov_rejected_wrong_precinct,E,Provisional ballots rejected: wrong precinct,provRej_WrongPrec,TRUE
prov_rejected_no_id,E,Provisional ballots rejected: no identification,provRej_NoId,TRUE
prov_rejected_incomplete,E,Provisional ballots rejected: envelope or ballot incomplete,provRej_Incomp,TRUE
prov_rejected_ballot_missing,E,Provisional ballots rejected: ballot missing from envelope,provRej_Missing,TRUE
prov_rejected_no_signature,E,Provisional ballots rejected: no signature,provRej_NoVoterSig,TRUE
prov_rejected_sig_mismatch,E,Provisional ballots rejected: non-matching signature,provRej_NonMatch,TRUE
prov_rejected_already_voted,E,Provisional ballots rejected: voter already voted,provRej_Voted,TRUE
