concept,year,code,codebook_label,confidence,note
ballots_cured,2016,,,high,NA: curing counts not collected in 2016.
ballots_cured,2018,,,high,NA: not collected in 2018.
ballots_cured,2020,,,high,NA: not collected in 2020.
ballots_cured,2022,C7a,C7a Total Mail Ballots Cured,high,FIRST YEAR PRESENT. C7a='Total Mail Ballots Cured' - a single combined field (ballots that were cured).
ballots_cured,2024,C7b,C7b Mail Ballots Successfully Cured,medium,"AMBIGUOUS (medium): 2024 SPLIT curing into C7a='Total Mail Ballots That Entered Curing' (denominator), C7b='Mail Ballots Successfully Cured', C7c='Unsuccessfully Cured'. Mapped to C7b as the best match for 'initially rejected that were later cured' (successfully cured). If you need the count that entered curing (analog of 2022 C7a), use C7a instead - but C7a-2024 != C7a-2022 in meaning."
drop_boxes_total,2016,,,high,NA: drop-box counts not collected in 2016.
drop_boxes_total,2018,,,high,NA: not collected in 2018.
drop_boxes_total,2020,,,high,NA: not collected in 2020 (Section C ends at C4).
drop_boxes_total,2022,C3a,C3a Total Ballot Drop Boxes Used for General Election,high,FIRST YEAR PRESENT. C3a='Total Ballot Drop Boxes Used for General Election'. Note C3a meant 'mail ballots counted' in 2018/2020 (see mail_counted trap).
drop_boxes_total,2024,C3a,C3a Drop Boxes Total,high,C3a='Drop Boxes Total'.
fips_code,2016,FIPSCode,,high,
fips_code,2018,FIPSCode,,high,
fips_code,2020,FIPSCode,,high,
fips_code,2022,FIPSCode,,high,
fips_code,2024,FIPSCode,,high,
fwab_counted,2016,,,high,NA: 2016 has no standalone FWAB-counted total. FWAB counted appears only as a military/civilian/other breakdown (B11a/B11b/B11c) that rolls into the B8 UOCAVA counted total; no single total variable.
fwab_counted,2018,B24a,UOCAVA FWABs Counted: Total,high,B24a='UOCAVA FWABs Counted: Total'.
fwab_counted,2020,B24a,B24a Total FWABs Counted,high,B24a='Total FWABs Counted'. TRAP: B24a-2024='UOCAVA Rejected Total'.
fwab_counted,2022,B24a,B24a Total FWABs Counted,high,B24a='Total FWABs Counted'. TRAP: B24a-2024='UOCAVA Rejected Total'.
