year,metric,relation,value,unit,source,note
2024,partic_total,gt,158000000,count,"2024 EAVS Comprehensive Report, Executive Summary p. ii","""over 158 million ballots were cast by voters and were counted"""
2024,reg_active,gt,211000000,count,"2024 EAVS Comprehensive Report, Executive Summary p. iii","""More than 211 million individuals were active registered voters"""
2024,reg_forms_received,gt,103000000,count,"2024 EAVS Comprehensive Report, Executive Summary p. iv","""More than 103 million registration transactions were processed"""
2024,reg_confirmations_sent,gt,35000000,count,"2024 EAVS Comprehensive Report, Executive Summary p. iv","""nearly 40 million confirmation notices""; floor set well below so the claim's direction is what is tested"
2024,reg_confirmations_sent,lt,40000000,count,"2024 EAVS Comprehensive Report, Executive Summary p. iv","""nearly 40 million"" reads as just under 40 million"
2024,reg_removed_total,gt,21000000,count,"2024 EAVS Comprehensive Report, Executive Summary p. iv","""More than 21 million voter registration records were removed"""
2024,poll_workers_total,gt,770000,count,"2024 EAVS Comprehensive Report, Executive Summary p. ii","""More than 770,000 individuals served as poll workers"""
2024,uocava_transmitted,gt,1300000,count,"2024 EAVS Comprehensive Report, Executive Summary p. iv","""More than 1.3 million ballots were transmitted"" to UOCAVA voters"
2024,fwab_returned,gt,28000,count,"2024 EAVS Comprehensive Report, Executive Summary p. v","""more than 28,000 FWABs were submitted by voters"""
2024,fwab_counted,gt,20000,count,"2024 EAVS Comprehensive Report, Executive Summary p. v","""The FWAB allowed more than 20,000 additional UOCAVA voters to have their ballots counted"""
2024,uocava_returned_rate,gt,66.67,percent,"2024 EAVS Comprehensive Report, Executive Summary p. iv","""Over two-thirds of transmitted UOCAVA ballots were returned"""
2024,uocava_counted_rate,gt,96,percent,"2024 EAVS Comprehensive Report, Executive Summary p. iv","""more than 96% of returned UOCAVA ballots were counted"""
2024,uocava_rejected_rate,lt,4,percent,"2024 EAVS Comprehensive Report, Executive Summary p. iv","""less than 4% were rejected"""
2024,partic_in_person_ed_share,gt,37.0,percent,"2024 EAVS Comprehensive Report, Executive Summary p. ii","""37.4% voting in person on Election Day"""
2024,partic_in_person_ed_share,lt,37.8,percent,"2024 EAVS Comprehensive Report, Executive Summary p. ii","""37.4% voting in person on Election Day"""
2024,reg_new_valid_share,gt,20,percent,"2024 EAVS Comprehensive Report, Executive Summary p. iv","""one-quarter were new and valid registrations"""
2024,reg_new_valid_share,lt,30,percent,"2024 EAVS Comprehensive Report, Executive Summary p. iv","""one-quarter were new and valid registrations"""
